Gene stable ID	NCBI gene (formerly Entrezgene) ID
ENSG00000224117	NA
ENSG00000272274	283483
ENSG00000230156	100874173
ENSG00000237879	100874158
ENSG00000227590	NA
ENSG00000174408	NA
ENSG00000224743	100507064
ENSG00000196777	NA
ENSG00000239050	NA
ENSG00000221316	NA
ENSG00000201847	NA
ENSG00000221650	100302286
ENSG00000221473	NA
ENSG00000227248	100874375
ENSG00000223177	NA
ENSG00000232087	NA
ENSG00000229938	NA
ENSG00000236094	440132
ENSG00000236242	100885782
ENSG00000238185	NA
ENSG00000223617	NA
ENSG00000230233	NA
ENSG00000230403	NA
ENSG00000236053	NA
ENSG00000261163	10609
ENSG00000265841	100422920
ENSG00000231894	NA
ENSG00000229792	NA
ENSG00000221041	NA
ENSG00000234854	101409253
ENSG00000198618	NA
ENSG00000229427	NA
ENSG00000255813	NA
ENSG00000201161	NA
ENSG00000231428	NA
ENSG00000232193	NA
ENSG00000229715	NA
ENSG00000226204	NA
ENSG00000265885	NA
ENSG00000238629	NA
ENSG00000235965	NA
ENSG00000224821	100129836
ENSG00000235822	NA
ENSG00000229289	NA
ENSG00000237637	100507099
ENSG00000232814	100874203
ENSG00000226818	NA
ENSG00000230633	NA
ENSG00000255831	NA
ENSG00000231620	NA
ENSG00000215515	NA
ENSG00000225239	NA
ENSG00000212609	NA
ENSG00000259831	NA
ENSG00000212293	NA
ENSG00000230198	NA
ENSG00000270008	NA
ENSG00000229152	NA
ENSG00000271486	NA
ENSG00000229336	NA
ENSG00000229800	NA
ENSG00000227105	NA
ENSG00000215353	NA
ENSG00000233480	NA
ENSG00000225760	NA
ENSG00000233236	NA
ENSG00000225870	101927802
ENSG00000251851	NA
ENSG00000252963	NA
ENSG00000235875	NA
ENSG00000207325	NA
ENSG00000233676	NA
ENSG00000226968	100874167
ENSG00000233644	NA
ENSG00000234439	NA
ENSG00000227352	NA
ENSG00000227604	NA
ENSG00000233206	NA
ENSG00000221677	NA
ENSG00000215881	NA
ENSG00000230300	NA
ENSG00000261258	60681
ENSG00000226903	101928616
ENSG00000224924	387486
ENSG00000264989	NA
ENSG00000200072	NA
ENSG00000260385	NA
ENSG00000229520	NA
ENSG00000215351	NA
ENSG00000224243	100505996
ENSG00000226771	NA
ENSG00000260102	101928698
ENSG00000221210	NA
ENSG00000234730	NA
ENSG00000260343	101928752
ENSG00000198434	NA
ENSG00000223626	NA
ENSG00000237527	NA
ENSG00000264726	NA
ENSG00000232684	100874205
ENSG00000238265	378828
ENSG00000234603	NA
ENSG00000236581	100874241
ENSG00000267868	NA
ENSG00000188403	NA
ENSG00000235280	NA
ENSG00000269356	NA
ENSG00000233997	101927821
ENSG00000269376	NA
ENSG00000231882	NA
ENSG00000230371	NA
ENSG00000259490	NA
ENSG00000269125	NA
ENSG00000227075	NA
ENSG00000232662	NA
ENSG00000270961	NA
ENSG00000225083	101930262
ENSG00000225083	101930007
ENSG00000233215	101927843
ENSG00000233613	NA
ENSG00000271317	NA
ENSG00000202347	NA
ENSG00000227208	100130386
ENSG00000270783	NA
ENSG00000233695	NA
ENSG00000271197	NA
ENSG00000272695	100506394
ENSG00000184856	54143
ENSG00000227911	NA
ENSG00000237699	NA
ENSG00000271336	NA
ENSG00000264288	NA
ENSG00000265259	NA
ENSG00000260753	115024
ENSG00000234340	NA
ENSG00000230490	NA
ENSG00000212051	100302195
ENSG00000226921	100874178
ENSG00000264365	NA
ENSG00000273321	NA
ENSG00000234535	NA
ENSG00000232986	NA
ENSG00000199636	NA
ENSG00000265094	NA
ENSG00000252397	NA
ENSG00000263663	NA
ENSG00000227254	NA
ENSG00000229373	643365
ENSG00000199196	NA
ENSG00000215405	727832
ENSG00000271850	NA
ENSG00000225179	100874179
ENSG00000231136	NA
ENSG00000260910	100861555
ENSG00000271901	NA
ENSG00000202339	NA
ENSG00000232487	NA
ENSG00000226043	NA
ENSG00000231910	NA
ENSG00000264539	100847035
ENSG00000261728	NA
ENSG00000223488	NA
ENSG00000265450	100616227
ENSG00000232795	NA
ENSG00000226158	NA
ENSG00000234835	NA
ENSG00000229723	NA
ENSG00000268343	NA
ENSG00000221519	NA
ENSG00000236036	100507114
ENSG00000207203	100873774
ENSG00000169861	NA
ENSG00000266047	NA
ENSG00000223383	NA
ENSG00000222602	NA
ENSG00000235306	NA
ENSG00000223543	NA
ENSG00000215486	NA
ENSG00000261631	317719
ENSG00000230031	100996331
ENSG00000230031	100287399
ENSG00000271337	NA
ENSG00000236711	NA
ENSG00000228825	NA
ENSG00000232378	NA
ENSG00000226161	NA
ENSG00000221100	NA
ENSG00000202395	NA
ENSG00000230283	NA
ENSG00000234034	NA
ENSG00000230390	NA
ENSG00000263796	NA
ENSG00000199276	NA
ENSG00000225906	NA
ENSG00000228036	NA
ENSG00000230972	NA
ENSG00000259896	55175
ENSG00000223685	100874188
ENSG00000219368	NA
ENSG00000236354	101929121
ENSG00000231058	NA
ENSG00000229437	NA
ENSG00000223078	NA
ENSG00000234701	NA
ENSG00000228592	266917
ENSG00000252795	100873764
ENSG00000212049	NA
ENSG00000270824	NA
ENSG00000225350	NA
ENSG00000225221	NA
ENSG00000270451	NA
ENSG00000235550	NA
ENSG00000223822	NA
ENSG00000271255	NA
ENSG00000214823	NA
ENSG00000271305	NA
ENSG00000238408	NA
ENSG00000216014	NA
ENSG00000264171	100422940
ENSG00000237569	NA
ENSG00000200526	NA
ENSG00000224351	NA
ENSG00000138593	9728
ENSG00000270444	NA
ENSG00000212553	NA
ENSG00000270185	NA
ENSG00000230710	100874127
ENSG00000271429	NA
ENSG00000207458	NA
ENSG00000268531	NA
ENSG00000230058	NA
ENSG00000252812	NA
ENSG00000215483	646982
ENSG00000229456	NA
ENSG00000211491	100313896
ENSG00000207652	693206
ENSG00000168852	100616668
ENSG00000233917	100996331
ENSG00000233917	100288966
ENSG00000233917	100287399
ENSG00000233917	317754
ENSG00000166157	7179
ENSG00000260245	47
ENSG00000176268	NA
ENSG00000239827	283507
ENSG00000229473	NA
ENSG00000264226	100422878
ENSG00000199698	NA
ENSG00000244264	NA
ENSG00000227716	NA
ENSG00000215482	NA
ENSG00000231986	NA
ENSG00000238651	NA
ENSG00000225133	NA
ENSG00000235564	NA
ENSG00000231404	NA
ENSG00000226996	NA
ENSG00000264695	NA
ENSG00000223280	100873765
ENSG00000224018	NA
ENSG00000266489	NA
ENSG00000214222	NA
ENSG00000224832	101927869
ENSG00000266181	NA
ENSG00000205240	100506759
ENSG00000237484	NA
ENSG00000265485	729950
ENSG00000234655	NA
ENSG00000263553	NA
ENSG00000266520	NA
ENSG00000215480	NA
ENSG00000266809	NA
ENSG00000263907	NA
ENSG00000266573	NA
ENSG00000263928	NA
ENSG00000264042	NA
ENSG00000264190	100847026
ENSG00000241406	NA
ENSG00000206962	NA
ENSG00000264345	NA
ENSG00000229696	NA
ENSG00000229248	NA
ENSG00000226093	NA
ENSG00000231530	NA
ENSG00000265552	NA
ENSG00000237263	NA
ENSG00000264434	NA
ENSG00000265679	NA
ENSG00000242216	NA
ENSG00000270809	NA
ENSG00000264193	NA
ENSG00000234213	NA
ENSG00000243925	NA
ENSG00000260703	83538
ENSG00000233259	NA
ENSG00000188985	NA
ENSG00000271216	NA
ENSG00000229546	NA
ENSG00000266227	NA
ENSG00000238025	NA
ENSG00000256715	NA
ENSG00000263829	NA
ENSG00000229928	NA
ENSG00000232540	NA
ENSG00000266237	NA
ENSG00000238189	NA
ENSG00000252921	NA
ENSG00000233821	NA
ENSG00000264911	NA
ENSG00000270522	NA
ENSG00000207160	NA
ENSG00000263862	NA
ENSG00000166351	388468
ENSG00000166351	339010
ENSG00000166351	317754
ENSG00000252846	NA
ENSG00000233725	121838
ENSG00000263846	NA
ENSG00000260283	1267
ENSG00000269011	NA
ENSG00000260372	147429
ENSG00000179611	NA
ENSG00000168675	753
ENSG00000226519	NA
ENSG00000227258	101929212
ENSG00000265369	728606
ENSG00000235285	100874377
ENSG00000263677	NA
ENSG00000230731	NA
ENSG00000263382	NA
ENSG00000237361	400128
ENSG00000266184	NA
ENSG00000266549	NA
ENSG00000225727	NA
ENSG00000265374	NA
ENSG00000262684	7266
ENSG00000230793	NA
ENSG00000188992	149998
ENSG00000238932	NA
ENSG00000237585	NA
ENSG00000235097	144817
ENSG00000223732	NA
ENSG00000265802	NA
ENSG00000223341	NA
ENSG00000271818	NA
ENSG00000252055	100873773
ENSG00000270381	NA
ENSG00000221163	NA
ENSG00000253051	NA
ENSG00000199477	677814
ENSG00000273149	NA
ENSG00000185272	54033
ENSG00000182974	390538
ENSG00000226983	339622
ENSG00000260770	28511
ENSG00000183706	283694
ENSG00000170919	100190939
ENSG00000227090	NA
ENSG00000230379	NA
ENSG00000270505	NA
ENSG00000269182	NA
ENSG00000259261	642131
ENSG00000237444	NA
ENSG00000244278	NA
ENSG00000155304	6782
ENSG00000260320	201181
ENSG00000228886	NA
ENSG00000214455	NA
ENSG00000251015	NA
ENSG00000229303	NA
ENSG00000200709	NA
ENSG00000197414	645202
ENSG00000197414	440243
ENSG00000197414	283767
ENSG00000232786	NA
ENSG00000228869	NA
ENSG00000235366	NA
ENSG00000232512	NA
ENSG00000237876	NA
ENSG00000260178	79132
ENSG00000223870	NA
ENSG00000235903	100509894
ENSG00000222042	NA
ENSG00000238627	NA
ENSG00000240767	NA
ENSG00000238483	NA
ENSG00000252854	NA
ENSG00000251106	NA
ENSG00000261097	100861554
ENSG00000223336	NA
ENSG00000252385	100873772
ENSG00000166200	9318
ENSG00000155307	64092
ENSG00000241353	NA
ENSG00000259958	2648
ENSG00000243440	388813
ENSG00000231817	NA
ENSG00000227019	NA
ENSG00000205105	NA
ENSG00000260325	94086
ENSG00000230243	NA
ENSG00000224517	100874082
ENSG00000234590	NA
ENSG00000244521	NA
ENSG00000234145	NA
ENSG00000229423	NA
ENSG00000261378	5878
ENSG00000228573	NA
ENSG00000153575	114791
ENSG00000234689	NA
ENSG00000260388	NA
ENSG00000227848	101929410
ENSG00000263172	NA
ENSG00000229111	100873965
ENSG00000262688	NA
ENSG00000266571	NA
ENSG00000224510	NA
ENSG00000260752	NA
ENSG00000231473	100862704
ENSG00000264151	NA
ENSG00000238086	NA
ENSG00000177197	NA
ENSG00000233456	NA
ENSG00000180530	8204
ENSG00000233610	100129597
ENSG00000264790	NA
ENSG00000222391	NA
ENSG00000225131	NA
ENSG00000244329	NA
ENSG00000265585	NA
ENSG00000201662	NA
ENSG00000263611	NA
ENSG00000223724	NA
ENSG00000265097	NA
ENSG00000199788	NA
ENSG00000235957	NA
ENSG00000263405	NA
ENSG00000231665	NA
ENSG00000227279	NA
ENSG00000236577	NA
ENSG00000137824	55177
ENSG00000266296	NA
ENSG00000176882	NA
ENSG00000261371	5175
ENSG00000265994	NA
ENSG00000203547	NA
ENSG00000271238	NA
ENSG00000222148	NA
ENSG00000181358	220429
ENSG00000251719	NA
ENSG00000265730	NA
ENSG00000200064	NA
ENSG00000212085	NA
ENSG00000264526	NA
ENSG00000264864	100500908
ENSG00000266479	NA
ENSG00000259458	NA
ENSG00000265980	NA
ENSG00000221731	NA
ENSG00000264587	NA
ENSG00000266196	NA
ENSG00000265670	NA
ENSG00000251702	NA
ENSG00000261521	NA
ENSG00000231607	406948
ENSG00000238376	NA
ENSG00000238660	NA
ENSG00000265888	101927698
ENSG00000213885	NA
ENSG00000263698	NA
ENSG00000185433	54072
ENSG00000266729	101927718
ENSG00000238314	NA
ENSG00000229962	NA
ENSG00000208006	406950
ENSG00000207019	NA
ENSG00000214359	NA
ENSG00000234883	406947
ENSG00000234883	114614
ENSG00000207240	NA
ENSG00000266521	NA
ENSG00000232150	145165
ENSG00000260583	282566
ENSG00000264859	NA
ENSG00000237731	NA
ENSG00000223676	NA
ENSG00000227054	NA
ENSG00000263304	284021
ENSG00000252379	NA
ENSG00000221198	NA
ENSG00000235514	NA
ENSG00000229323	NA
ENSG00000259985	NA
ENSG00000200472	NA
ENSG00000137880	2644
ENSG00000265158	NA
ENSG00000233783	NA
ENSG00000263772	NA
ENSG00000237152	100874074
ENSG00000251972	NA
ENSG00000263924	NA
ENSG00000200711	NA
ENSG00000224541	NA
ENSG00000270518	NA
ENSG00000270879	NA
ENSG00000273492	NA
ENSG00000222320	NA
ENSG00000233672	100874255
ENSG00000263823	NA
ENSG00000206802	NA
ENSG00000265273	NA
ENSG00000229025	NA
ENSG00000266105	NA
ENSG00000232692	NA
ENSG00000263917	NA
ENSG00000265063	NA
ENSG00000214917	NA
ENSG00000265008	NA
ENSG00000238982	NA
ENSG00000262917	11232
ENSG00000263393	NA
ENSG00000199373	NA
ENSG00000265279	NA
ENSG00000263904	NA
ENSG00000222395	NA
ENSG00000264982	NA
ENSG00000215492	NA
ENSG00000260389	441818
ENSG00000104129	55192
ENSG00000221621	NA
ENSG00000177150	125228
ENSG00000263688	NA
ENSG00000123201	2974
ENSG00000155313	29761
ENSG00000197934	100996571
ENSG00000273115	NA
ENSG00000223563	NA
ENSG00000266133	100616243
ENSG00000215326	NA
ENSG00000231236	NA
ENSG00000236332	NA
ENSG00000222920	NA
ENSG00000226792	647166
ENSG00000214878	NA
ENSG00000271242	NA
ENSG00000263077	100616408
ENSG00000263077	100616387
ENSG00000263077	1655
ENSG00000266072	100847003
ENSG00000269965	NA
ENSG00000270101	NA
ENSG00000101638	29906
ENSG00000236778	100507398
ENSG00000232560	NA
ENSG00000265146	100616171
ENSG00000262931	NA
ENSG00000224892	NA
ENSG00000243900	NA
ENSG00000229906	NA
ENSG00000266611	100616423
ENSG00000263046	90799
ENSG00000252141	NA
ENSG00000206920	NA
ENSG00000242893	NA
ENSG00000224451	NA
ENSG00000231856	NA
ENSG00000232872	NA
ENSG00000236044	NA
ENSG00000261138	NA
ENSG00000217576	101930578
ENSG00000239823	NA
ENSG00000265031	NA
ENSG00000266804	NA
ENSG00000261387	NA
ENSG00000265387	100616387
ENSG00000154639	1525
ENSG00000265492	100616408
ENSG00000263516	NA
ENSG00000243406	100887750
ENSG00000101654	8731
ENSG00000261074	169714
ENSG00000078043	9063
ENSG00000272281	101930578
ENSG00000272281	644623
ENSG00000156958	2585
ENSG00000260220	399693
ENSG00000266342	100188917
ENSG00000154640	10950
ENSG00000233300	NA
ENSG00000271236	NA
ENSG00000217026	NA
ENSG00000219592	NA
ENSG00000234052	NA
ENSG00000261183	NA
ENSG00000188277	643338
ENSG00000249139	100526773
ENSG00000225298	54088
ENSG00000264256	NA
ENSG00000260587	1795
ENSG00000251161	NA
ENSG00000234083	NA
ENSG00000259405	NA
ENSG00000178457	246705
ENSG00000259617	NA
ENSG00000259463	NA
ENSG00000232079	284825
ENSG00000259521	NA
ENSG00000259880	7873
ENSG00000259547	NA
ENSG00000158901	90199
ENSG00000140416	7168
ENSG00000157021	NA
ENSG00000240847	NA
ENSG00000259956	29890
ENSG00000180205	259240
ENSG00000154642	54149
ENSG00000247556	729082
ENSG00000260383	727957
ENSG00000260383	377711
ENSG00000243355	NA
ENSG00000263765	NA
ENSG00000263450	NA
ENSG00000267642	NA
ENSG00000199204	NA
ENSG00000267746	NA
ENSG00000267585	NA
ENSG00000268873	NA
ENSG00000221409	NA
ENSG00000268573	NA
ENSG00000257267	10778
ENSG00000239683	NA
ENSG00000267583	NA
ENSG00000266965	NA
ENSG00000267397	NA
ENSG00000140577	64784
ENSG00000267797	NA
ENSG00000207797	406963
ENSG00000261236	102465906
ENSG00000261236	23246
ENSG00000265641	100500864
ENSG00000166140	84936
ENSG00000267627	NA
ENSG00000260552	101927809
ENSG00000267404	NA
ENSG00000267456	NA
ENSG00000101138	1477
ENSG00000252078	NA
ENSG00000267039	NA
ENSG00000267651	NA
ENSG00000154645	140578
ENSG00000260623	9730
ENSG00000267707	NA
ENSG00000267202	NA
ENSG00000266530	100422857
ENSG00000243516	NA
ENSG00000268566	NA
ENSG00000222704	NA
ENSG00000253038	NA
ENSG00000271564	NA
ENSG00000260428	100129885
ENSG00000260428	642658
ENSG00000267374	647946
ENSG00000199605	NA
ENSG00000235660	NA
ENSG00000180305	140832
ENSG00000175886	NA
ENSG00000244471	NA
ENSG00000259396	NA
ENSG00000266148	100847025
ENSG00000266148	100846997
ENSG00000200407	NA
ENSG00000068793	23191
ENSG00000259838	NA
ENSG00000212354	NA
ENSG00000267413	NA
ENSG00000180083	259239
ENSG00000198384	220115
ENSG00000260926	NA
ENSG00000261715	101927900
ENSG00000207766	693211
ENSG00000267664	NA
ENSG00000270702	NA
ENSG00000238333	NA
ENSG00000260814	NA
ENSG00000250379	NA
ENSG00000182931	280664
ENSG00000265557	NA
ENSG00000267313	641516
ENSG00000154646	5651
ENSG00000200293	NA
ENSG00000264850	100423013
ENSG00000259792	NA
ENSG00000174171	NA
ENSG00000168634	164237
ENSG00000221476	100302217
ENSG00000199633	NA
ENSG00000267652	NA
ENSG00000272003	NA
ENSG00000225253	NA
ENSG00000260988	NA
ENSG00000259883	NA
ENSG00000149651	391253
ENSG00000267088	NA
ENSG00000246740	101928388
ENSG00000259708	NA
ENSG00000257797	NA
ENSG00000272418	NA
ENSG00000259562	NA
ENSG00000261132	3297
ENSG00000259322	NA
ENSG00000259413	NA
ENSG00000259474	NA
ENSG00000261762	NA
ENSG00000267586	284260
ENSG00000259555	NA
ENSG00000261443	23132
ENSG00000101365	3420
ENSG00000250299	NA
ENSG00000261303	NA
ENSG00000167216	83473
ENSG00000124116	140686
ENSG00000211579	100313778
ENSG00000150276	NA
ENSG00000237092	NA
ENSG00000225510	NA
ENSG00000087589	57091
ENSG00000241613	NA
ENSG00000220990	NA
ENSG00000213307	NA
ENSG00000261517	100861552
ENSG00000238166	646938
ENSG00000234787	100507428
ENSG00000243711	NA
ENSG00000236532	NA
ENSG00000271652	NA
ENSG00000252061	NA
ENSG00000207712	693212
ENSG00000177699	NA
ENSG00000136149	NA
ENSG00000261002	NA
ENSG00000154654	4685
ENSG00000239022	NA
ENSG00000266699	NA
ENSG00000232855	NA
ENSG00000260571	NA
ENSG00000264387	100846996
ENSG00000228611	NA
ENSG00000228319	NA
ENSG00000226935	118421
ENSG00000238455	NA
ENSG00000259234	729911
ENSG00000201665	NA
ENSG00000271140	NA
ENSG00000251894	NA
ENSG00000230009	NA
ENSG00000215005	NA
ENSG00000166143	54866
ENSG00000234421	NA
ENSG00000215317	NA
ENSG00000176054	NA
ENSG00000207695	406960
ENSG00000258461	NA
ENSG00000273254	NA
ENSG00000259419	NA
ENSG00000225352	NA
ENSG00000231125	NA
ENSG00000202422	NA
ENSG00000266543	NA
ENSG00000232954	NA
ENSG00000232687	NA
ENSG00000261712	NA
ENSG00000201984	NA
ENSG00000222733	NA
ENSG00000212479	NA
ENSG00000214335	NA
ENSG00000259493	NA
ENSG00000224649	NA
ENSG00000261698	8694
ENSG00000223717	NA
ENSG00000259208	NA
ENSG00000214281	NA
ENSG00000166262	196951
ENSG00000232647	NA
ENSG00000215533	193629
ENSG00000260674	NA
ENSG00000271190	NA
ENSG00000239003	NA
ENSG00000213527	NA
ENSG00000227528	100874195
ENSG00000265745	NA
ENSG00000223815	100874196
ENSG00000176136	4161
ENSG00000226332	NA
ENSG00000202151	NA
ENSG00000227336	NA
ENSG00000265329	100616340
ENSG00000238213	NA
ENSG00000212054	NA
ENSG00000228812	101928158
ENSG00000223076	NA
ENSG00000236608	NA
ENSG00000229207	NA
ENSG00000225249	101926930
ENSG00000185231	4158
ENSG00000207032	NA
ENSG00000233017	NA
ENSG00000251697	NA
ENSG00000206854	NA
ENSG00000272050	NA
ENSG00000230729	NA
ENSG00000103642	114294
ENSG00000253018	NA
ENSG00000260542	NA
ENSG00000227510	NA
ENSG00000232983	NA
ENSG00000266663	100422973
ENSG00000236056	NA
ENSG00000212007	NA
ENSG00000234033	NA
ENSG00000174403	253868
ENSG00000237159	415056
ENSG00000248476	571
ENSG00000270856	NA
ENSG00000229578	100874143
ENSG00000197299	641
ENSG00000273017	NA
ENSG00000199017	406904
ENSG00000230142	NA
ENSG00000261215	NA
ENSG00000207764	406923
ENSG00000230074	NA
ENSG00000226094	NA
ENSG00000227611	NA
ENSG00000253040	NA
ENSG00000202250	NA
ENSG00000229307	NA
ENSG00000264490	NA
ENSG00000267716	NA
ENSG00000154719	54148
ENSG00000257198	389715
ENSG00000232105	NA
ENSG00000202060	NA
ENSG00000232121	NA
ENSG00000267573	NA
ENSG00000229882	100505735
ENSG00000261678	83482
ENSG00000271465	NA
ENSG00000267337	101927921
ENSG00000228669	NA
ENSG00000232803	100127888
ENSG00000267414	101927943
ENSG00000227564	NA
ENSG00000187791	NA
ENSG00000265957	100422829
ENSG00000175322	162655
ENSG00000231061	100874157
ENSG00000267101	NA
ENSG00000237687	NA
ENSG00000215430	NA
ENSG00000223669	NA
ENSG00000237378	NA
ENSG00000101160	1522
ENSG00000228705	100652730
ENSG00000267097	NA
ENSG00000178723	NA
ENSG00000202478	100873780
ENSG00000229873	101409261
ENSG00000261587	340393
ENSG00000022277	51507
ENSG00000213232	NA
ENSG00000215199	NA
ENSG00000233838	NA
ENSG00000233148	NA
ENSG00000241568	NA
ENSG00000219926	NA
ENSG00000266988	NA
ENSG00000236527	NA
ENSG00000234181	NA
ENSG00000232118	NA
ENSG00000215198	101930338
ENSG00000215432	NA
ENSG00000228817	NA
ENSG00000267354	NA
ENSG00000272259	63930
ENSG00000272299	NA
ENSG00000259229	NA
ENSG00000266968	NA
ENSG00000239171	NA
ENSG00000237849	NA
ENSG00000234293	NA
ENSG00000252995	NA
ENSG00000267193	NA
ENSG00000166145	6692
ENSG00000227674	NA
ENSG00000273464	NA
ENSG00000259548	NA
ENSG00000125514	NA
ENSG00000261229	10588
ENSG00000267558	NA
ENSG00000214269	NA
ENSG00000222179	NA
ENSG00000174680	642976
ENSG00000259770	NA
ENSG00000237119	100144597
ENSG00000267293	NA
ENSG00000252034	NA
ENSG00000271364	NA
ENSG00000214266	NA
ENSG00000251939	NA
ENSG00000231133	768097
ENSG00000240983	NA
ENSG00000180725	NA
ENSG00000179766	158381
ENSG00000259981	NA
ENSG00000251881	NA
ENSG00000270112	NA
ENSG00000227342	266919
ENSG00000236565	NA
ENSG00000225978	768096
ENSG00000259967	NA
